"filename", "language", "Properties", "Gradle", "Batch", "JSON", "XML", "Java Properties", "Java", "Log", "comment", "blank", "total"
"d:\Programming\Projects\ChiChess\chess\.env", "Properties", 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\Programming\Projects\ChiChess\chess\build.gradle", "Gradle", 0, 45, 0, 0, 0, 0, 0, 0, 0, 6, 51
"d:\Programming\Projects\ChiChess\chess\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\Programming\Projects\ChiChess\chess\gradlew.bat", "Batch", 0, 0, 40, 0, 0, 0, 0, 0, 32, 22, 94
"d:\Programming\Projects\ChiChess\chess\logs\cms.2026-01-08.0.log", "Log", 0, 0, 0, 0, 0, 0, 0, 317, 0, 3, 320
"d:\Programming\Projects\ChiChess\chess\run.bat", "Batch", 0, 0, 11, 0, 0, 0, 0, 0, 2, 3, 16
"d:\Programming\Projects\ChiChess\chess\settings.gradle", "Gradle", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\ChessApplication.java", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\config\CHandshakeInterceptor.java", "Java", 0, 0, 0, 0, 0, 0, 42, 0, 0, 14, 56
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\config\Config.java", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\config\JwtFilter.java", "Java", 0, 0, 0, 0, 0, 0, 47, 0, 0, 11, 58
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\config\SecurityConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 48, 0, 2, 10, 60
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\config\ValidationHandler.java", "Java", 0, 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\config\WebSocketConfig.java", "Java", 0, 0, 0, 0, 0, 0, 21, 0, 0, 7, 28
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\controller\ChessWebSocketHandler.java", "Java", 0, 0, 0, 0, 0, 0, 87, 0, 1, 14, 102
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\controller\MainController.java", "Java", 0, 0, 0, 0, 0, 0, 25, 0, 0, 10, 35
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\controller\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 51, 0, 12, 8, 71
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\interfaces\ChessGameService.java", "Java", 0, 0, 0, 0, 0, 0, 8, 0, 1, 7, 16
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\interfaces\RoomManager.java", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 0, 10, 20
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\AuthCode.java", "Java", 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\CodeInput.java", "Java", 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\FingerprintInput.java", "Java", 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\LoginInput.java", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\RegisterInput.java", "Java", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\ResetPasswordInput.java", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\SetNewPasswordInput.java", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\UserDTO.java", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\DTO\VerifyCodeInput.java", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\FACode.java", "Java", 0, 0, 0, 0, 0, 0, 33, 0, 0, 9, 42
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\Fingerprint.java", "Java", 0, 0, 0, 0, 0, 0, 33, 0, 0, 8, 41
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\JWT.java", "Java", 0, 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\User.java", "Java", 0, 0, 0, 0, 0, 0, 36, 0, 0, 13, 49
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\UserCreds.java", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 0, 5, 15
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\auth\UserPrincipal.java", "Java", 0, 0, 0, 0, 0, 0, 43, 0, 0, 13, 56
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\logic\GameStatus.java", "Java", 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\logic\GameType.java", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\logic\MessageType.java", "Java", 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\logic\MoveRequest.java", "Java", 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\logic\MoveResponse.java", "Java", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\logic\RoomState.java", "Java", 0, 0, 0, 0, 0, 0, 209, 0, 3, 40, 252
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\matchmaking\JoinQueueRequest.java", "Java", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\matchmaking\MessageType.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\matchmaking\QueueEntry.java", "Java", 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\model\matchmaking\QueueStatus.java", "Java", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\repo\RstateRepo.java", "Java", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6, 12
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\repo\UsersRepo.java", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 9, 21
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\service\auth\CookieService.java", "Java", 0, 0, 0, 0, 0, 0, 44, 0, 1, 7, 52
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\service\auth\JWTService.java", "Java", 0, 0, 0, 0, 0, 0, 100, 0, 0, 16, 116
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\service\auth\MyUserDetailsService.java", "Java", 0, 0, 0, 0, 0, 0, 26, 0, 0, 8, 34
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\service\auth\UserService.java", "Java", 0, 0, 0, 0, 0, 0, 96, 0, 0, 12, 108
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\service\logic\ChessService.java", "Java", 0, 0, 0, 0, 0, 0, 328, 0, 12, 60, 400
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\service\logic\MessageRouter.java", "Java", 0, 0, 0, 0, 0, 0, 92, 0, 0, 23, 115
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\service\logic\PostgresService.java", "Java", 0, 0, 0, 0, 0, 0, 21, 0, 0, 10, 31
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\service\logic\RedisService.java", "Java", 0, 0, 0, 0, 0, 0, 140, 0, 4, 25, 169
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\service\matchmaking\MMservice.java", "Java", 0, 0, 0, 0, 0, 0, 42, 0, 0, 9, 51
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\utils\AnnoyingConstants.java", "Java", 0, 0, 0, 0, 0, 0, 18, 0, 0, 9, 27
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\utils\GamePresetsLoader.java", "Java", 0, 0, 0, 0, 0, 0, 32, 0, 0, 8, 40
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\utils\RandomStringUtil.java", "Java", 0, 0, 0, 0, 0, 0, 18, 0, 0, 5, 23
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\utils\RoomFullException.java", "Java", 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\utils\RoomNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\utils\SamePlayerException.java", "Java", 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"d:\Programming\Projects\ChiChess\chess\src\main\java\kz\chitas\chess\utils\UriIdExtractor.java", "Java", 0, 0, 0, 0, 0, 0, 14, 0, 1, 4, 19
"d:\Programming\Projects\ChiChess\chess\src\main\resources\application-test.properties", "Java Properties", 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 23
"d:\Programming\Projects\ChiChess\chess\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"d:\Programming\Projects\ChiChess\chess\src\main\resources\game-presets.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"d:\Programming\Projects\ChiChess\chess\src\main\resources\logback-spring.xml", "XML", 0, 0, 0, 0, 28, 0, 0, 0, 2, 5, 35
"d:\Programming\Projects\ChiChess\chess\src\test\java\kz\chitas\chess\ChessApplicationTests.java", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"Total", "-", 5, 46, 51, 30, 28, 37, 1959, 317, 73, 532, 3078